OTU_ID	1.T0	1.T1	1.T2	1.T3	1.T4	11.T0	11.T1	11.T2	11.T3	11.T4	13.T1	13.T2	13.T3	13.T4	15.T0	15.T1	15.T2	15.T3	15.T4	17.T1	17.T2	17.T3	17.T4	19.T1	19.T2	19.T3	19.T4	21.T0	21.T1	21.T2	21.T3	21.T4	22.T0	23.T1	23.T2	23.T4	25.T1	25.T2	25.T3	25.T4	27.T1	27.T2	27.T3	27.T4	29.T1	29.T2	29.T3	29.T4	3.T1	3.T2	3.T3	3.T4	31.T0	31.T1	31.T2	31.T3	31.T4	33.T0	33.T1	33.T2	33.T3	33.T4	35.T1	35.T2	35.T3	35.T4	37.T1	37.T3	37.T4	38.T2	39.T1	39.T2	39.T3	39.T4	41.T0	41.T1	41.T2	41.T3	41.T4	42.T2	43.T1	43.T3	43.T4	45.T0	45.T1	45.T2	45.T3	45.T4	47.T1	47.T2	47.T3	47.T4	49.T1	49.T3	49.T4	5.T0	5.T1	5.T2	5.T3	5.T4	50.T2	51.T0	51.T1	51.T2	51.T3	51.T4	53.T1	53.T2	53.T3	53.T4	55.T0	55.T1	55.T2	55.T3	55.T4	57.T1	57.T2	57.T3	57.T4	59.T1	59.T2	59.T3	59.T4	7.T1	7.T2	7.T3	7.T4	9.T1	9.T2	9.T3	9.T4
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	491.0	13114.0	0.0	33066.0	38210.0	1934.0	7679.0	59688.0	70924.0	40476.0	38348.0	54990.0	20609.0	38404.0	918.0	12517.0	26692.0	12998.0	15077.0	9202.0	32825.0	28036.0	20293.0	18010.0	37288.0	107665.0	67978.0	477.0	28642.0	38215.0	18768.0	25416.0	1988.0	59577.0	33235.0	35445.0	1588.0	11730.0	7613.0	16042.0	25651.0	3676.0	13894.0	9787.0	21534.0	21170.0	62671.0	40809.0	10796.0	64940.0	60824.0	14863.0	196.0	14045.0	17021.0	12666.0	20897.0	551.0	1811.0	16477.0	24877.0	26000.0	3228.0	7491.0	15043.0	22594.0	25444.0	609.0	25468.0	54104.0	20897.0	43879.0	47747.0	8324.0	13867.0	27536.0	40366.0	13614.0	3970.0	35826.0	43928.0	4982.0	14692.0	13865.0	22861.0	0.0	7529.0	7513.0	37932.0	28159.0	35482.0	11216.0	37276.0	22032.0	34504.0	11188.0	16965.0	47691.0	23085.0	52740.0	33760.0	308.0	40043.0	22671.0	9574.0	3225.0	37933.0	7556.0	8889.0	4454.0	672.0	21579.0	22105.0	19527.0	2407.0	65063.0	58804.0	19462.0	17562.0	26580.0	18185.0	22704.0	8554.0	6745.0	35988.0	15150.0	30.0	23316.0	65235.0	96700.0	61413.0
k__Fungi;__;__;__;__;__	11.0	7.0	20201.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.0	5.0	0.0	0.0	0.0	33.0	0.0	0.0	241.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	7.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2181.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	41.0	0.0	0.0	2705966.0	12427.0	0.0	0.0	0.0	0.0	0.0	3088.0	0.0	0.0	8.0	156.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	828.0	0.0	0.0	0.0	0.0	408.0	0.0	345.0	0.0	0.0	0.0	0.0	0.0	0.0	4272.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	8.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium	85.0	2162.0	0.0	441.0	580.0	123.0	5496.0	610.0	960.0	1106.0	2660.0	446.0	16967.0	1241.0	33.0	369.0	238.0	333.0	0.0	610.0	536.0	1154.0	112.0	0.0	392.0	691.0	583.0	0.0	611.0	1922.0	565.0	2959.0	935.0	402.0	4068.0	45.0	5475.0	22035.0	6204.0	54401.0	563.0	162.0	167.0	615.0	10130.0	1140.0	10708.0	5335.0	3431.0	1391.0	670.0	305.0	280.0	35926.0	367.0	3522.0	13215.0	28.0	436.0	6006.0	1344.0	20211.0	14834.0	5246.0	3874.0	60357.0	57406.0	0.0	6539.0	27270.0	1917.0	1266.0	37105.0	5643.0	12588.0	8423.0	10849.0	9545.0	2177.0	4805.0	7401.0	2578.0	3440.0	13740.0	4922.0	0.0	2107.0	13923.0	21558.0	7381.0	6472.0	7842.0	7304.0	15438.0	9842.0	476.0	371.0	467.0	342.0	334.0	10121.0	180.0	15763.0	17783.0	22756.0	4663.0	7209.0	4563.0	12284.0	7190.0	762.0	3555.0	43472.0	51418.0	9072.0	3606.0	23901.0	15346.0	17004.0	5733.0	11957.0	45488.0	36924.0	364.0	554.0	0.0	0.0	3418.0	876.0	1205.0	1321.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus	59.0	5593.0	0.0	448.0	5080.0	285.0	3128.0	47.0	695.0	1858.0	8578.0	2438.0	4721.0	23354.0	37.0	5692.0	59460.0	46954.0	34310.0	4110.0	17930.0	2740.0	415.0	24565.0	500.0	1276.0	2414.0	0.0	467.0	7912.0	1494.0	10975.0	634.0	631.0	3153.0	4763.0	208.0	70.0	2162.0	2244.0	10386.0	5575.0	6707.0	14062.0	5021.0	5500.0	916.0	12977.0	8408.0	6332.0	35710.0	27364.0	7.0	4140.0	24689.0	1468.0	523.0	0.0	290.0	861.0	1569.0	562.0	1185.0	560.0	332.0	262.0	828.0	38.0	320.0	680.0	1007.0	983.0	712.0	3181.0	5427.0	10712.0	13171.0	2481.0	1394.0	4225.0	9782.0	5910.0	13831.0	9265.0	1422.0	0.0	41744.0	25552.0	6434.0	14073.0	10476.0	17321.0	18374.0	5281.0	12395.0	1966.0	428.0	1897.0	11570.0	14251.0	2063.0	23.0	4430.0	6128.0	5657.0	367.0	3862.0	1302.0	7973.0	1071.0	433.0	644.0	14940.0	41658.0	1222.0	18163.0	8302.0	9403.0	6771.0	6639.0	2967.0	6707.0	3295.0	7358.0	62465.0	30382.0	38308.0	1442.0	766.0	8389.0	3118.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	66.0	95.0	0.0	95.0	105.0	109.0	3037.0	0.0	161.0	185.0	2278.0	136.0	12133.0	295.0	144.0	44.0	283.0	50.0	18.0	201.0	93.0	93.0	81.0	0.0	153.0	254.0	233.0	0.0	155.0	234.0	0.0	112.0	164.0	133.0	1037.0	13351.0	519.0	2481.0	3552.0	30555.0	171.0	589.0	1834.0	1844.0	1312.0	6.0	4517.0	760.0	323.0	236.0	244.0	365.0	113.0	5574.0	1946.0	2340.0	31275.0	66.0	199.0	20859.0	108.0	107.0	0.0	48.0	3769.0	12.0	991.0	0.0	7643.0	230.0	93.0	0.0	251.0	4723.0	36263.0	325.0	1379.0	243.0	1965.0	433.0	1595.0	3487.0	1875.0	580.0	3744.0	0.0	328.0	276.0	308.0	261.0	183.0	355.0	762.0	1022.0	3885.0	92.0	4097.0	546.0	78.0	252.0	139.0	0.0	776.0	2181.0	7591.0	6996.0	310.0	2817.0	455.0	2517.0	582.0	190.0	14161.0	2275.0	213.0	2162.0	22245.0	10020.0	49595.0	262.0	165.0	727.0	6076.0	0.0	241.0	0.0	0.0	837.0	272.0	760.0	738.0
k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Mucor	0.0	31.0	0.0	61.0	38.0	6.0	19.0	0.0	72.0	0.0	254.0	0.0	17787.0	130.0	0.0	17.0	84.0	41.0	58.0	13.0	35.0	38.0	79.0	0.0	45.0	107.0	90.0	11.0	45.0	124.0	33.0	36.0	33.0	63.0	55.0	84.0	32841.0	85937.0	10658.0	19447.0	87.0	0.0	24.0	49.0	46.0	38.0	122.0	93.0	48.0	95.0	95.0	49.0	0.0	44.0	0.0	23.0	70.0	0.0	0.0	31.0	36.0	47.0	57.0	15.0	16.0	0.0	8277.0	0.0	46.0	60.0	51.0	183.0	96.0	55.0	153.0	65.0	69.0	18.0	0.0	73.0	53.0	17.0	51.0	0.0	0.0	0.0	45.0	53.0	79.0	99.0	75.0	70.0	2169.0	59.0	116.0	21.0	35.0	100.0	32.0	58.0	63.0	0.0	101.0	48.0	55.0	20.0	56.0	54.0	43.0	19.0	0.0	44.0	89.0	129.0	22.0	86.0	106.0	58.0	83.0	47.0	29.0	82.0	72.0	0.0	92.0	73.0	0.0	39.0	83.0	115.0	93.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Peyronellaea	0.0	41.0	0.0	45.0	74.0	0.0	38.0	110.0	90.0	80.0	93.0	0.0	0.0	165.0	27.0	0.0	92.0	54.0	0.0	513.0	79.0	33.0	20.0	0.0	43.0	158.0	102.0	0.0	50.0	107.0	23.0	0.0	181.0	88.0	85.0	0.0	34.0	0.0	145.0	124.0	70.0	0.0	90.0	97.0	47.0	0.0	83.0	106.0	0.0	91.0	85.0	41.0	0.0	55.0	78.0	0.0	59.0	0.0	0.0	66.0	0.0	52.0	239.0	11.0	19.0	0.0	84.0	0.0	34.0	108.0	46.0	70.0	62.0	68.0	98.0	95.0	85.0	161.0	40.0	0.0	1839.0	617.0	497.0	74.0	46.0	0.0	37.0	74.0	11768.0	5533.0	571.0	76.0	62.0	32.0	0.0	25.0	25.0	53.0	39.0	58.0	6220.0	0.0	132.0	146.0	214.0	21.0	237.0	29778.0	21891.0	8701.0	0.0	63.0	4578.0	113.0	47.0	94.0	101.0	105.0	82.0	1766.0	88.0	4814.0	357.0	0.0	106.0	0.0	0.0	44.0	88.0	128.0	87.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium	70.0	45.0	0.0	26.0	41.0	32.0	16.0	0.0	39.0	26.0	79.0	0.0	0.0	46.0	0.0	30.0	37.0	55.0	0.0	0.0	52.0	7437.0	0.0	0.0	0.0	302.0	40.0	0.0	74.0	0.0	0.0	25.0	40.0	27.0	22.0	0.0	0.0	0.0	0.0	109.0	27.0	0.0	24.0	41.0	23.0	352.0	69.0	46808.0	0.0	43.0	60.0	24.0	0.0	26.0	23.0	0.0	32.0	15.0	0.0	17.0	9084.0	36.0	41.0	9.0	20.0	0.0	45.0	0.0	46.0	50.0	17.0	77.0	42.0	60.0	0.0	38.0	42.0	177.0	18.0	64.0	46.0	0.0	33.0	0.0	0.0	0.0	32.0	54.0	43.0	37.0	29.0	19.0	32.0	20.0	49.0	1515.0	33.0	39.0	0.0	32.0	49.0	0.0	508.0	8273.0	295.0	330.0	0.0	0.0	255.0	488.0	35.0	35.0	60.0	43.0	15.0	40.0	46.0	0.0	0.0	19.0	13.0	42.0	46.0	0.0	43.0	2486.0	0.0	24.0	42.0	53.0	91.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella	5.0	23.0	0.0	12.0	20.0	46.0	505.0	0.0	27.0	29.0	87.0	31.0	243.0	15.0	19.0	0.0	63.0	56.0	40.0	0.0	44.0	95.0	25.0	0.0	20.0	48.0	43.0	0.0	0.0	158.0	24.0	474.0	101.0	35.0	19.0	0.0	223.0	747.0	56.0	685.0	37.0	123.0	19.0	97.0	17.0	111.0	122.0	304.0	114.0	72.0	46.0	21.0	0.0	70.0	257.0	688.0	71.0	0.0	38.0	101.0	97.0	186.0	6950.0	13.0	24.0	400.0	246.0	0.0	25.0	392.0	762.0	146.0	345.0	1061.0	495.0	469.0	1715.0	49.0	420.0	1884.0	2185.0	711.0	232.0	484.0	601.0	0.0	3151.0	582.0	3207.0	435.0	214.0	223.0	563.0	131.0	247.0	55.0	0.0	28.0	12.0	27.0	169.0	14.0	12227.0	3047.0	2531.0	2241.0	1056.0	499.0	1101.0	358.0	42.0	518.0	2178.0	2559.0	120.0	613.0	3261.0	1299.0	553.0	2210.0	2247.0	5964.0	3621.0	0.0	44.0	0.0	0.0	128.0	110.0	75.0	40.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;__	25.0	9.0	0.0	34.0	31.0	0.0	15.0	0.0	40.0	33.0	20.0	25.0	32.0	41.0	0.0	0.0	51.0	52.0	0.0	19.0	29.0	36.0	20.0	0.0	31.0	38.0	40.0	0.0	20.0	22.0	9.0	17.0	0.0	30.0	0.0	0.0	11.0	0.0	0.0	56.0	95.0	0.0	21.0	43.0	23.0	18.0	38.0	41.0	0.0	43.0	41.0	17.0	0.0	18.0	33.0	2815.0	26.0	0.0	0.0	14.0	14.0	17.0	0.0	0.0	10.0	0.0	38.0	0.0	20.0	41.0	505.0	39.0	36.0	29661.0	45.0	33.0	40.0	15.0	12589.0	1647.0	24.0	0.0	20.0	0.0	15.0	0.0	24.0	23.0	37.0	34.0	40.0	34.0	28.0	13.0	25.0	8.0	13.0	20.0	13.0	29.0	30.0	0.0	78.0	34.0	27.0	13.0	24.0	32.0	23.0	8.0	0.0	7.0	48.0	38.0	25.0	41.0	43.0	46.0	43.0	23.0	13.0	32.0	26.0	0.0	29.0	0.0	0.0	32.0	41.0	62.0	63.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;__	25.0	0.0	0.0	45.0	38.0	0.0	1322.0	0.0	33.0	0.0	36.0	0.0	0.0	74.0	136.0	28.0	50.0	52.0	0.0	0.0	0.0	33.0	0.0	0.0	51.0	57.0	89.0	56.0	0.0	140.0	0.0	0.0	0.0	63.0	55.0	58.0	41.0	257.0	0.0	0.0	65.0	19.0	0.0	125.0	0.0	0.0	0.0	62.0	56.0	108.0	53.0	52.0	0.0	40.0	0.0	29.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	38.0	46.0	0.0	0.0	53.0	9252.0	288.0	5935.0	66.0	0.0	0.0	43.0	970.0	1925.0	6146.0	24.0	0.0	54.0	54.0	53.0	0.0	39.0	0.0	171.0	229.0	965.0	0.0	0.0	49.0	32.0	0.0	126.0	0.0	65.0	0.0	273.0	0.0	27.0	52.0	0.0	0.0	196.0	59.0	1695.0	4536.0	4098.0	62.0	3535.0	3750.0	12243.0	0.0	297.0	27.0	79.0	0.0	94.0	0.0	0.0	0.0	0.0	61.0	90.0
k__Fungi;p__Ascomycota;__;__;__;__	0.0	0.0	0.0	18.0	14.0	17.0	36.0	37.0	33.0	19.0	19.0	14.0	30.0	0.0	0.0	0.0	23.0	45.0	0.0	0.0	16.0	14.0	0.0	0.0	12.0	40.0	529.0	0.0	0.0	78.0	26.0	40.0	0.0	17.0	13.0	23.0	9.0	107.0	38.0	2065.0	218.0	159.0	1420.0	2642.0	13.0	15.0	51.0	697.0	0.0	32.0	17.0	91.0	0.0	14.0	325.0	16.0	30.0	0.0	28.0	32.0	10.0	14.0	0.0	0.0	0.0	0.0	22.0	0.0	10.0	36.0	12.0	0.0	39.0	19.0	2593.0	0.0	18.0	0.0	0.0	0.0	358.0	274.0	10866.0	2958.0	100.0	0.0	1569.0	23778.0	43.0	47.0	26.0	32.0	24.0	27.0	18.0	0.0	0.0	29.0	27.0	38.0	810.0	22.0	18.0	10.0	13.0	0.0	110.0	111.0	447.0	449.0	0.0	28.0	368.0	518.0	25.0	88.0	152.0	867.0	3515.0	127.0	74.0	265.0	7929.0	0.0	21.0	25.0	0.0	14.0	21.0	48.0	37.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora	0.0	42.0	0.0	21.0	16.0	0.0	1001.0	0.0	58.0	95.0	0.0	71.0	32.0	21.0	0.0	0.0	36.0	0.0	0.0	0.0	26.0	11.0	9.0	0.0	15.0	97.0	33.0	0.0	89.0	17.0	7.0	0.0	83.0	19.0	15.0	37.0	13.0	111.0	0.0	99.0	148.0	0.0	0.0	0.0	46.0	12.0	0.0	62.0	47.0	31.0	37.0	8.0	0.0	17.0	24.0	0.0	64.0	0.0	0.0	49.0	13.0	53.0	115.0	22.0	15.0	37.0	32.0	0.0	49.0	69.0	17.0	21.0	66.0	0.0	8513.0	158.0	3273.0	0.0	0.0	162.0	47.0	381.0	7497.0	4789.0	42.0	0.0	86.0	58.0	112.0	3921.0	3101.0	1886.0	142.0	1326.0	1029.0	35.0	0.0	11.0	9.0	66.0	1488.0	87.0	22.0	226.0	1889.0	445.0	63.0	237.0	1288.0	2595.0	432.0	20.0	5276.0	20508.0	7161.0	131.0	3487.0	3198.0	11698.0	58.0	413.0	3038.0	16836.0	0.0	26.0	0.0	0.0	52.0	83.0	87.0	64.0
