OTU_ID	1.T0	1.T1	1.T2	1.T3	1.T4	11.T0	11.T1	11.T2	11.T3	11.T4	13.T1	13.T2	13.T3	13.T4	15.T0	15.T1	15.T2	15.T3	15.T4	17.T1	17.T2	17.T3	17.T4	19.T1	19.T2	19.T3	19.T4	21.T0	21.T1	21.T2	21.T3	21.T4	22.T0	23.T1	23.T2	23.T4	25.T1	25.T2	25.T3	25.T4	27.T1	27.T2	27.T3	27.T4	29.T1	29.T2	29.T3	29.T4	3.T1	3.T2	3.T3	3.T4	31.T0	31.T1	31.T2	31.T3	31.T4	33.T0	33.T1	33.T2	33.T3	33.T4	35.T1	35.T2	35.T3	35.T4	37.T1	37.T3	37.T4	38.T2	39.T1	39.T2	39.T3	39.T4	41.T0	41.T1	41.T2	41.T3	41.T4	42.T2	43.T1	43.T3	43.T4	45.T0	45.T1	45.T2	45.T3	45.T4	47.T1	47.T2	47.T3	47.T4	49.T1	49.T3	49.T4	5.T0	5.T1	5.T2	5.T3	5.T4	50.T2	51.T0	51.T1	51.T2	51.T3	51.T4	53.T1	53.T2	53.T3	53.T4	55.T0	55.T1	55.T2	55.T3	55.T4	57.T1	57.T2	57.T3	57.T4	59.T1	59.T2	59.T3	59.T4	7.T1	7.T2	7.T3	7.T4	9.T1	9.T2	9.T3	9.T4
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellales_fam_Incertae_sedis;g__Sistotrema	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	5.0	7.0	7.0	16.0	14.0	0.0	0.0	8.0	0.0	0.0	6.0	4.0	0.0	0.0	0.0	2.0	13.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	15.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	7.0	0.0	0.0	8.0	0.0	7.0	7.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	11.0	4.0	0.0	0.0	0.0	6.0	7.0	10.0	0.0	29.0	17.0	269.0	426.0	0.0	0.0	0.0	0.0	8.0	532.0	0.0	0.0	0.0	6.0	9.0	50.0	384.0	31203.0	5.0	204.0	1166.0	9.0	5.0	5.0	0.0	7.0	4.0	0.0	7.0	6.0	9.0	3.0	11.0	9.0	6.0	84.0	0.0	0.0	68.0	123.0	206.0	9.0	15.0	10.0	47.0	0.0	5.0	15.0	50.0	0.0	16.0	0.0	0.0	0.0	3.0	17.0	12.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;g__Pestalotiopsis	36.0	0.0	0.0	9.0	4.0	14.0	0.0	18.0	8.0	6.0	0.0	8.0	32.0	10.0	0.0	3.0	12.0	4.0	0.0	0.0	3.0	1661.0	6.0	0.0	11.0	71.0	6.0	0.0	7.0	14.0	4.0	0.0	0.0	9.0	8.0	14.0	0.0	0.0	0.0	80.0	10.0	0.0	3.0	8.0	1064.0	389.0	0.0	22406.0	0.0	8.0	13.0	4.0	0.0	3.0	0.0	2.0	5.0	0.0	0.0	4.0	1924.0	7.0	14.0	0.0	3.0	0.0	18.0	0.0	29.0	17.0	2.0	0.0	9.0	9.0	5.0	8.0	7.0	38.0	7.0	11.0	7.0	0.0	0.0	0.0	8.0	0.0	0.0	12.0	9.0	0.0	21.0	3.0	7.0	7.0	28.0	381.0	0.0	9.0	6.0	13.0	8.0	0.0	19.0	14.0	0.0	2.0	10.0	11.0	4.0	0.0	0.0	0.0	12.0	12.0	0.0	11.0	18.0	0.0	12.0	0.0	0.0	0.0	4.0	0.0	9.0	77.0	0.0	8.0	15.0	10.0	16.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;__	0.0	12.0	0.0	0.0	12.0	0.0	8.0	29.0	26.0	20.0	18.0	22.0	0.0	23.0	0.0	8.0	0.0	93.0	70.0	0.0	13.0	18.0	4.0	0.0	16.0	24.0	0.0	0.0	15.0	15.0	6.0	17.0	0.0	29.0	14.0	0.0	5.0	0.0	0.0	45.0	341.0	0.0	4481.0	20300.0	16.0	14.0	20.0	50.0	0.0	19.0	20.0	620.0	0.0	8.0	0.0	8.0	14.0	0.0	0.0	9.0	12.0	16.0	12.0	0.0	3.0	24.0	20.0	0.0	6.0	22.0	9.0	19.0	26.0	12.0	17.0	0.0	30.0	10.0	10.0	0.0	17.0	8.0	18.0	7.0	10.0	0.0	12.0	17.0	25.0	25.0	15.0	13.0	19.0	24.0	18.0	0.0	0.0	18.0	8.0	18.0	15.0	0.0	21.0	17.0	15.0	4.0	12.0	11.0	15.0	6.0	0.0	9.0	33.0	47.0	4.0	26.0	26.0	56.0	27.0	15.0	10.0	25.0	16.0	0.0	31.0	0.0	0.0	15.0	25.0	33.0	0.0
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula	3.0	0.0	0.0	8.0	7.0	0.0	0.0	0.0	9.0	19.0	10.0	7.0	9.0	5.0	0.0	0.0	17.0	3.0	1993.0	0.0	0.0	8.0	0.0	0.0	0.0	13.0	17.0	0.0	4.0	14.0	2.0	5.0	8.0	12.0	0.0	0.0	2.0	0.0	6.0	8.0	11721.0	198.0	267.0	1031.0	0.0	0.0	12.0	11.0	9.0	10.0	45.0	31.0	0.0	7.0	454.0	0.0	4.0	0.0	0.0	0.0	7.0	5.0	0.0	0.0	0.0	0.0	4.0	0.0	5.0	18.0	24.0	5.0	20.0	14.0	9.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	9.0	8.0	13.0	11.0	4.0	12.0	9.0	6.0	4.0	4.0	6.0	5.0	0.0	13.0	0.0	0.0	7.0	3.0	3.0	7.0	0.0	10.0	3.0	14.0	0.0	11.0	15.0	0.0	12.0	13.0	0.0	10.0	13.0	0.0	24.0	8.0	0.0	72.0	1102.0	1474.0	0.0	17.0	15.0	0.0
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;__	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	8.0	5.0	9.0	6.0	6.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	5.0	13.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	9.0	5.0	4.0	4.0	3.0	0.0	5.0	6.0	0.0	2.0	0.0	0.0	0.0	5.0	5.0	0.0	0.0	0.0	11.0	9.0	0.0	0.0	11.0	0.0	0.0	6.0	4.0	0.0	13624.0	4.0	4.0	3.0	6.0	6.0	0.0	6.0	6.0	3.0	0.0	3.0	3.0	0.0	0.0	5.0	4.0	5.0	14.0	7.0	0.0	0.0	7.0	3.0	5.0	3.0	0.0	7.0	9.0	4.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	5.0	22.0	0.0	9.0	4.0	0.0	4.0	5.0	33.0	0.0	4.0	0.0	0.0	0.0	0.0	14.0	0.0	10.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Emericellopsis	0.0	0.0	0.0	5.0	0.0	0.0	132.0	0.0	6.0	6.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	5.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	8.0	8.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	14.0	7.0	0.0	0.0	11.0	5.0	0.0	16.0	10.0	0.0	0.0	14.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	8.0	0.0	5.0	7.0	4.0	8.0	16.0	11.0	7261.0	0.0	0.0	4.0	0.0	5.0	1102.0	0.0	0.0	5.0	0.0	9.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	5.0	9.0	0.0	0.0	20.0	1026.0	0.0	6.0	32.0	571.0	872.0	0.0	0.0	5.0	7.0	0.0	3.0	8.0	9.0	12.0	5.0	4.0	4.0	12.0	0.0	7.0	0.0	0.0	4.0	5.0	4.0	5.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces	28.0	927.0	0.0	13505.0	19.0	10.0	1170.0	0.0	16.0	13.0	82.0	26.0	20.0	20.0	22.0	48.0	17.0	9.0	10.0	17.0	12.0	9.0	11.0	763.0	8.0	14.0	24.0	17.0	14.0	17.0	11.0	14.0	12.0	85.0	8.0	0.0	18.0	0.0	27.0	17.0	16.0	0.0	0.0	0.0	15.0	51.0	26.0	23.0	0.0	21.0	18.0	6.0	14.0	13.0	9.0	7.0	11.0	25.0	13.0	7.0	0.0	12.0	17.0	4.0	5.0	0.0	28.0	0.0	13.0	22.0	16.0	15.0	18.0	18.0	15.0	25.0	16.0	15.0	6.0	23.0	17.0	0.0	10.0	44.0	12.0	0.0	12.0	15.0	9.0	16.0	27.0	9.0	9.0	10.0	26.0	20.0	10.0	10.0	7.0	11.0	16.0	7.0	0.0	0.0	7.0	0.0	20.0	18.0	24.0	15.0	3944.0	14.0	23.0	0.0	7.0	25.0	709.0	17.0	17.0	8.0	95.0	10.0	15.0	0.0	13.0	0.0	0.0	857.0	27.0	24.0	0.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	5.0	24.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	82.0	108.0	6020.0	1513.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	163.0	0.0	0.0	3.0	59.0	0.0	4.0	9.0	52.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	4.0	7.0	0.0	0.0	0.0	3.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Corynascella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	7262.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	9.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	4.0	7.0	0.0	0.0	0.0	0.0	5.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	5499.0	0.0	0.0	0.0	0.0	2.0	17.0	126.0	241.0	32.0	4.0	0.0	0.0	0.0	6.0	5.0	0.0	0.0	309.0	0.0	5.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	4979.0	164.0	9.0	0.0	4.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;__	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	26.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	253.0	32.0	5.0	0.0	0.0	0.0	0.0	26.0	28.0	4672.0	1076.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Cryptococcus	5.0	338.0	0.0	2560.0	12.0	4.0	18.0	0.0	0.0	0.0	11.0	4.0	0.0	14.0	0.0	5.0	0.0	3.0	0.0	4.0	0.0	3.0	0.0	41.0	0.0	4.0	0.0	0.0	8.0	7.0	0.0	0.0	0.0	16.0	0.0	0.0	2.0	150.0	0.0	0.0	6.0	0.0	6.0	0.0	5.0	0.0	0.0	6.0	0.0	5.0	7.0	2.0	0.0	5.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	4.0	4.0	0.0	0.0	4.0	4.0	0.0	32.0	5.0	0.0	14.0	0.0	5.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	0.0	0.0	6.0	3.0	9.0	5.0	5.0	72.0	0.0	0.0	0.0	7.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1514.0	2.0	5.0	0.0	0.0	6.0	305.0	0.0	6.0	2.0	28.0	0.0	0.0	0.0	3.0	0.0	0.0	252.0	5.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Irpicaceae;g__Byssomerulius	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	216.0	0.0	0.0	0.0	6.0	0.0	5.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	28.0	1181.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	8.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	279.0	3863.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;__;__;__	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	15.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	8.0	1378.0	0.0	0.0	2.0	3.0	567.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	215.0	625.0	456.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	22.0	0.0	0.0	4.0	19.0	132.0	1608.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Schizophyllaceae;g__Schizophyllum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	534.0	1999.0	127.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Thermoascaceae;g__Byssochlamys	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	6.0	0.0	28.0	0.0	0.0	133.0	0.0	0.0	0.0	14.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	0.0	0.0	0.0	0.0	2.0	8.0	0.0	8.0	12.0	184.0	699.0	5.0	88.0	0.0	0.0	11.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	10.0	8.0	0.0	233.0	7.0	0.0	0.0	6.0	0.0	2.0	8.0	5.0	0.0	58.0	0.0	0.0	4.0	0.0	4.0	3.0	0.0	0.0	196.0	0.0	0.0	0.0	0.0	7.0	0.0	9.0	3.0	6.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	9.0	0.0	264.0	17.0	3.0	20.0	56.0	13.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	13.0
